Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_910.jpg;0;1;0;4.724442;112.5172;96.42148;1.483719;33.35837;-0.003670109
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_978.jpg;0;1;0;4.760317;112.837;96.63129;1.536437;33.3466;-0.003370682
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_046.jpg;0;1;0;4.797482;113.0781;96.78896;1.497678;33.3246;-0.002070628
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_114.jpg;0;1;0;4.844961;113.4026;97.00048;1.441625;33.28585;-0.001416272
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_180.jpg;0;1;0;4.879261;113.6484;97.1604;1.418579;33.25436;-0.001376598
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_247.jpg;0;1;0;4.924788;113.8962;97.32142;1.409762;33.22218;-0.001379849
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_316.jpg;0;1;0;4.958803;114.2296;97.53781;1.416526;33.17886;-0.001414922
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_383.jpg;0;1;0;4.992715;114.4819;97.70131;1.432167;33.14621;-0.001451922
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_450.jpg;-1.515718;1;0;5.011999;114.735;97.86491;1.455886;33.08772;-0.001301518
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_517.jpg;-4.533668;1;0;5.011501;115.0739;98.08096;1.497915;32.63302;0.0001094271
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_584.jpg;-4.545197;1;0;5.013203;115.3287;98.24036;1.482857;31.99939;-0.002148067
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_651.jpg;-1.492366;1;0;4.970767;115.583;98.39741;1.396593;31.44934;-0.001356142
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_720.jpg;0;1;0;5.009603;115.9241;98.60645;1.334266;31.21291;-0.00422375
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_786.jpg;0;1;0;4.998622;116.1806;98.76292;1.31358;31.15759;-0.004999838
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_854.jpg;0;1;0;5.00804;116.5235;98.9713;1.319585;31.15446;-0.004814746
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_921.jpg;0;1;0;5.02362;116.781;99.12749;1.340386;31.15462;-0.004646174
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_19_988.jpg;0;1;0;5.00809;117.039;99.28371;1.37859;31.15902;-0.004291134
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_056.jpg;0;1;0;5.022943;117.383;99.49165;1.434295;31.15525;-0.003780146
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_124.jpg;0;1;0;5.014314;117.6415;99.6476;1.48802;31.14791;-0.00341614
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_191.jpg;0;1;0;5.021537;117.8993;99.80279;1.494652;31.13164;-0.005566203
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_258.jpg;0;1;0;4.988323;118.2421;100.0084;1.41571;31.09948;-0.001853148
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_325.jpg;0;1;0;5.00984;118.4998;100.1626;1.382985;31.06742;-0.001344231
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_393.jpg;0;1;0;5.003531;118.8439;100.368;1.368786;31.01485;-0.000864052
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_460.jpg;0;1;0;5.015273;119.1026;100.5221;1.379746;30.98073;-0.001367235
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_527.jpg;0;1;0;5.005777;119.3617;100.6763;1.406674;30.95471;-0.001675289
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_595.jpg;0;1;0;5.029583;119.7068;100.8812;1.444672;30.87871;-0.001462232
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_662.jpg;0;1;0;5.013988;119.9664;101.0351;1.488952;30.8487;-0.001680954
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_730.jpg;0;1;0;5.01969;120.2253;101.1882;1.48736;30.81926;-0.004293206
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_798.jpg;3.06203;1;0;4.985727;120.5687;101.3925;1.40036;30.98614;-0.002130641
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_864.jpg;6.066143;1;0;5.009517;120.825;101.5485;1.359102;31.46095;0.03201031
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_931.jpg;9.133623;1;0;5.001696;121.0794;101.7086;1.332052;32.30461;0.1414638
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_20_999.jpg;12.12586;1;0;5.007518;121.4113;101.9265;1.143499;34.04819;0.3099936
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_066.jpg;15;1;0;5.0448;121.6536;102.097;0.8908751;35.9895;0.4785032
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_134.jpg;15;1;0;5.005266;121.9653;102.3348;0.4439327;38.715;0.8530275
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_201.jpg;13.509;0.7981654;0;5.01007;122.1907;102.5207;0.01071336;40.79382;1.197966
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_267.jpg;15;0.5971091;0;4.999412;122.4147;102.7133;359.7961;42.63607;1.407049
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_335.jpg;15;0.3921916;0;4.991232;122.7101;102.9808;359.8279;45.07016;1.426525
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_403.jpg;15;0.1925038;0;4.978065;122.9261;103.1908;0.03425572;47.02304;1.315519
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_470.jpg;15;0;0;4.956877;123.129;103.4064;0.00613914;49.11312;1.212361
